datetime,zone,carbon_intensity
2026-08-30T10:00:00.000Z,DE,103
2026-08-30T11:00:00.000Z,DE,106
2026-08-30T12:00:00.000Z,DE,110
2026-08-30T13:00:00.000Z,DE,112
2026-08-30T14:00:00.000Z,DE,128
2026-08-30T15:00:00.000Z,DE,191
2026-08-30T16:00:00.000Z,DE,284
2026-08-30T17:00:00.000Z,DE,356
2026-08-30T18:00:00.000Z,DE,401
2026-08-30T19:00:00.000Z,DE,412
2026-08-30T20:00:00.000Z,DE,421
2026-08-30T21:00:00.000Z,DE,435
2026-08-30T22:00:00.000Z,DE,438
2026-08-30T23:00:00.000Z,DE,435
2026-08-31T00:00:00.000Z,DE,423
2026-08-31T01:00:00.000Z,DE,397
2026-08-31T02:00:00.000Z,DE,372
2026-08-31T03:00:00.000Z,DE,344
2026-08-31T04:00:00.000Z,DE,316
2026-08-31T05:00:00.000Z,DE,289
2026-08-31T06:00:00.000Z,DE,235
2026-08-31T07:00:00.000Z,DE,184
2026-08-31T08:00:00.000Z,DE,144
2026-08-31T09:00:00.000Z,DE,113
2026-08-31T10:00:00.000Z,DE,110
2026-08-31T11:00:00.000Z,DE,109
2026-08-31T12:00:00.000Z,DE,109
2026-08-31T13:00:00.000Z,DE,113
2026-08-31T14:00:00.000Z,DE,125
2026-08-31T15:00:00.000Z,DE,176
2026-08-31T16:00:00.000Z,DE,251
2026-08-31T17:00:00.000Z,DE,293
2026-08-31T18:00:00.000Z,DE,315
2026-08-31T19:00:00.000Z,DE,320
2026-08-31T20:00:00.000Z,DE,330
2026-08-31T21:00:00.000Z,DE,338
2026-08-31T22:00:00.000Z,DE,332
2026-08-31T23:00:00.000Z,DE,346
2026-09-01T00:00:00.000Z,DE,356
2026-09-01T01:00:00.000Z,DE,367
2026-09-01T02:00:00.000Z,DE,370
2026-09-01T03:00:00.000Z,DE,374
2026-09-01T04:00:00.000Z,DE,362
2026-09-01T05:00:00.000Z,DE,341
2026-09-01T06:00:00.000Z,DE,311
2026-09-01T07:00:00.000Z,DE,264
2026-09-01T08:00:00.000Z,DE,208
2026-09-01T09:00:00.000Z,DE,150
2026-09-01T10:00:00.000Z,DE,132
2026-09-01T11:00:00.000Z,DE,129
2026-09-01T12:00:00.000Z,DE,131
2026-09-01T13:00:00.000Z,DE,141
2026-09-01T14:00:00.000Z,DE,186
2026-09-01T15:00:00.000Z,DE,249
2026-09-01T16:00:00.000Z,DE,329
2026-09-01T17:00:00.000Z,DE,382
2026-09-01T18:00:00.000Z,DE,369
2026-09-01T19:00:00.000Z,DE,357
2026-09-01T20:00:00.000Z,DE,372
2026-09-01T21:00:00.000Z,DE,396
2026-09-01T22:00:00.000Z,DE,387
2026-09-01T23:00:00.000Z,DE,407
2026-09-02T00:00:00.000Z,DE,417
2026-09-02T01:00:00.000Z,DE,416
2026-09-02T02:00:00.000Z,DE,411
